0.340658	0.526186	0.183322	0.340658
0.275582	0.357405	0.085336	0.275582
0.136535	0.183602	0.044855	0.136535
0.015187	0.004797	-0.006881	0.015187
-0.117087	-0.161855	-0.046985	-0.117087
-0.243108	-0.304983	-0.064082	-0.243108
-0.374322	-0.418972	-0.041137	-0.374322
-0.465025	-0.446836	0.021687	-0.465025
-0.475408	-0.440321	0.032861	-0.475408
-0.405802	-0.473803	-0.064506	-0.405802
-0.342189	-0.581378	-0.235709	-0.342189
-0.290256	-0.734191	-0.446180	-0.290256
-0.232823	-0.863532	-0.627233	-0.232823
-0.164205	-0.900971	-0.739016	-0.164205
-0.101577	-0.858306	-0.753259	-0.101577
-0.067758	-0.781547	-0.710333	-0.067758
-0.039788	-0.790752	-0.747522	-0.039788
-0.006223	-0.782783	-0.773132	-0.006223
0.027204	-0.734868	-0.764367	0.027204
0.049071	-0.732826	-0.784184	0.049071
0.065137	-0.844994	-0.906698	0.065137
0.075426	-0.882462	-0.960179	0.075426
0.068540	-0.902639	-0.967750	0.068540
0.044549	-0.917016	-0.963861	0.044549
0.043496	-0.902776	-0.942848	0.043496
0.059577	-0.871457	-0.927624	0.059577
0.064170	-0.834548	-0.895322	0.064170
0.063033	-0.832047	-0.897408	0.063033
0.061898	-0.846681	-0.905187	0.061898
0.066477	-0.844117	-0.912926	0.066477
0.093876	-0.835847	-0.926336	0.093876
0.109741	-0.901839	-1.013917	0.109741
0.096988	-0.950422	-1.044027	0.096988
0.089995	-0.913145	-0.999770	0.089995
0.088739	-0.881724	-0.967107	0.088739
0.081776	-0.850425	-0.934569	0.081776
0.074839	-0.824957	-0.902156	0.074839
0.073640	-0.856691	-0.932681	0.073640
0.078154	-0.882578	-0.957362	0.078154
0.094069	-0.862670	-0.959093	0.094069
0.098496	-0.831416	-0.926546	0.098496
0.085772	-0.885939	-0.968358	0.085772
0.090229	-0.900259	-0.992860	0.090229
0.094666	-0.868831	-0.965859	0.094666
0.087663	-0.843235	-0.933250	0.087663
0.080686	-0.874841	-0.957870	0.080686
0.062315	-0.883470	-0.942408	0.062315
0.072570	-0.857794	-0.932711	0.072570
0.094201	-0.860768	-0.957307	0.094201
0.087191	-0.846593	-0.936112	0.087191
0.080207	-0.855310	-0.932125	0.080207
0.101801	-0.841144	-0.939568	0.101801
0.089044	-0.884133	-0.975523	0.089044
0.093467	-0.886966	-0.982770	0.093467
0.097871	-0.901201	-0.995689	0.097871
0.107965	-0.846848	-0.951443	0.107965
0.129436	-0.769869	-0.901660	0.129436
0.127976	-0.744592	-0.869203	0.127976
0.109388	-0.822199	-0.928236	0.109388
0.096585	-0.882350	-0.981308	0.096585
0.100964	-0.907986	-1.011313	0.100964
0.093902	-0.893538	-0.984083	0.093902
0.086867	-0.856300	-0.945535	0.086867
0.091279	-0.859181	-0.947108	0.091279
0.112803	-0.804940	-0.914404	0.112803
0.122815	-0.790887	-0.910377	0.122815
0.104233	-0.845409	-0.946331	0.104233
0.108566	-0.888280	-0.993549	0.108566
0.118590	-0.856735	-0.972041	0.118590
0.111439	-0.831023	-0.944902	0.111439
0.121447	-0.816829	-0.934996	0.121447
0.114280	-0.762716	-0.879440	0.114280
0.118562	-0.691686	-0.806972	0.118562
0.122823	-0.757990	-0.877552	0.122823
0.115645	-0.824017	-0.936413	0.115645
0.102783	-0.855504	-0.960763	0.102783
0.112814	-0.795491	-0.905060	0.112814
0.122801	-0.764268	-0.883838	0.122801
0.121324	-0.773140	-0.896957	0.121324
0.108431	-0.816231	-0.927144	0.108431
0.129850	-0.824877	-0.957200	0.129850
